epoch,total_loss,task_loss,g_constraint,train_rmse,val_rmse
0,0.9896634221076965,0.0692688450217247,306.7981872558594,0.26318976283073425,0.25914862751960754
1,0.7957017421722412,0.06235259026288986,244.44972229003906,0.2497050017118454,0.2403387427330017
2,0.6420379877090454,0.05830907076597214,194.57630920410156,0.24147270619869232,0.22660809755325317
3,0.5207225680351257,0.056416820734739304,154.76858520507812,0.23752225935459137,0.21624501049518585
4,0.4263845682144165,0.05603010579943657,123.45149230957031,0.23670679330825806,0.21256645023822784
5,0.35202130675315857,0.056580401957035065,98.48030090332031,0.2378663569688797,0.21100492775440216
6,0.29376617074012756,0.05728580802679062,78.82678985595703,0.2393445372581482,0.2089942842721939
7,0.24633152782917023,0.05775008723139763,62.860477447509766,0.24031247198581696,0.20904560387134552
8,0.20933133363723755,0.05823420733213425,50.36570358276367,0.24131764471530914,0.21000835299491882
9,0.18033841252326965,0.0579548105597496,40.79453659057617,0.24073804914951324,0.21017423272132874
10,0.15765166282653809,0.05784453824162483,33.26904296875,0.24050891399383545,0.21054023504257202
