epoch,total_loss,task_loss,d_constraint,train_rmse,val_rmse
0,134.43580627441406,0.13064442574977875,447.6838684082031,0.36144769191741943,0.4146922826766968
1,126.63533020019531,0.09517566859722137,421.8005065917969,0.3085055351257324,0.35060495138168335
2,118.49201202392578,0.07205145806074142,394.7331848144531,0.26842403411865234,0.2959118187427521
3,110.71360778808594,0.06047675013542175,368.84375,0.24592021107673645,0.25564149022102356
4,103.85063171386719,0.056047916412353516,345.98193359375,0.23674441874027252,0.22707808017730713
5,96.53410339355469,0.05575253814458847,321.594482421875,0.23611974716186523,0.2109895646572113
6,89.35163116455078,0.05697382241487503,297.6488342285156,0.23869189620018005,0.2037973254919052
7,82.12438201904297,0.058323923498392105,273.5534973144531,0.24150346219539642,0.200055792927742
8,75.66964721679688,0.059431761503219604,252.03404235839844,0.2437863051891327,0.19906283915042877
9,69.07546997070312,0.05975765734910965,230.05235290527344,0.2444537878036499,0.1974884569644928
10,62.97573471069336,0.0598640963435173,209.7195587158203,0.24467140436172485,0.19693328440189362
11,56.86082458496094,0.05922627076506615,189.33865356445312,0.24336448311805725,0.19814826548099518
12,50.60493087768555,0.05837414786219597,168.488525390625,0.2416074275970459,0.20041076838970184
13,45.741798400878906,0.05748838931322098,152.28103637695312,0.23976735770702362,0.20251145958900452
14,40.356712341308594,0.056414443999528885,134.33432006835938,0.23751725256443024,0.20695973932743073
