epoch,total_loss,task_loss,g_constraint,train_rmse,val_rmse
0,4.628681182861328,0.08545277267694473,151.4409637451172,0.2923230528831482,0.3301796615123749
1,3.234727144241333,0.06183483451604843,105.76307678222656,0.24866610765457153,0.2616625726222992
2,2.228219509124756,0.055499367415905,72.42401123046875,0.23558303713798523,0.2278049737215042
3,1.540601372718811,0.05469049513339996,49.530364990234375,0.23385998606681824,0.2136165350675583
4,1.080146312713623,0.05494939163327217,34.1732292175293,0.23441286385059357,0.2074429988861084
5,0.7569320201873779,0.05514572188258171,23.39287567138672,0.23483125865459442,0.2055620551109314
6,0.5356919169425964,0.05522594973444939,16.015531539916992,0.23500202596187592,0.2050955593585968
7,0.38219889998435974,0.05514556169509888,10.901778221130371,0.23483091592788696,0.20636801421642303
8,0.284589946269989,0.05492876097559929,7.655373573303223,0.23436886072158813,0.20846335589885712
9,0.22413954138755798,0.0548708550632,5.642289638519287,0.23424528539180756,0.2107420265674591
10,0.18438634276390076,0.05478629097342491,4.320001602172852,0.2340647131204605,0.21241027116775513
