dataset,combo_id,lambda_g,learning_rate,fusion_hidden_dim,rkhs_proj_hidden_dim,weight_decay,rmse,brier,ece,tag
Infectious,9,0.03,0.0005,64,64,0.0001,0.22179117210320806,0.5155315782563825,0.7180052545454545,tune_infectious_009
Infectious,4,0.01,0.0005,64,64,0.0,0.22179577309753415,0.515546537105404,0.7180156736363636,tune_infectious_004
Infectious,8,0.03,0.0005,64,64,0.0,0.22179670146925037,0.5155921238788722,0.7180474045454546,tune_infectious_008
Infectious,5,0.01,0.0005,64,64,0.0001,0.22181247825254696,0.5155167107717074,0.7179948863636363,tune_infectious_005
Infectious,25,0.3,0.0005,64,64,0.0001,0.22181539589843818,0.5155926798338628,0.7180477990909091,tune_infectious_025
Infectious,17,0.1,0.0005,64,64,0.0001,0.2218190251617365,0.5155622770644783,0.7180266236363637,tune_infectious_017
Infectious,21,0.2,0.0005,64,64,0.0001,0.2218224776367358,0.5155764154991647,0.7180364663636363,tune_infectious_021
Infectious,13,0.05,0.0005,64,64,0.0001,0.22187378763409288,0.5156739162798836,0.7181043563636365,tune_infectious_013
Infectious,12,0.05,0.0005,64,64,0.0,0.22190454649902377,0.5157398280933454,0.7181502545454546,tune_infectious_012
Infectious,24,0.3,0.0005,64,64,0.0,0.22192535744366995,0.5157078113265098,0.7181279472727273,tune_infectious_024
Infectious,20,0.2,0.0005,64,64,0.0,0.22194606839512793,0.5157408158711451,0.7181509345454545,tune_infectious_020
Infectious,16,0.1,0.0005,64,64,0.0,0.22202411381508988,0.5159287254228951,0.7182817481818182,tune_infectious_016
Infectious,11,0.03,0.001,64,64,0.0001,0.22914804682295806,0.5270357271983899,0.7259721809090909,tune_infectious_011
Infectious,10,0.03,0.001,64,64,0.0,0.22922768887874748,0.5271689110329738,0.7260638954545455,tune_infectious_010
Infectious,23,0.2,0.001,64,64,0.0001,0.22925418182513077,0.5272373153984338,0.7261110454545454,tune_infectious_023
Infectious,14,0.05,0.001,64,64,0.0,0.22925916565787227,0.5272426936001974,0.72611472,tune_infectious_014
Infectious,19,0.1,0.001,64,64,0.0001,0.22929378872611375,0.5272996927742025,0.7261539790909091,tune_infectious_019
Infectious,27,0.3,0.001,64,64,0.0001,0.2293178249810092,0.5273208184303061,0.7261685154545454,tune_infectious_027
Infectious,18,0.1,0.001,64,64,0.0,0.2293272651334511,0.5273373080633109,0.7261798609090908,tune_infectious_018
Infectious,26,0.3,0.001,64,64,0.0,0.22934256551853774,0.5273430836611531,0.7261838472727273,tune_infectious_026
Infectious,22,0.2,0.001,64,64,0.0,0.22937712018175707,0.5273993281871082,0.7262225527272728,tune_infectious_022
Infectious,15,0.05,0.001,64,64,0.0001,0.2297959777183516,0.5280972901579113,0.7267029836363637,tune_infectious_015
Infectious,7,0.01,0.001,64,64,0.0001,0.22986833795358175,0.5282240811867248,0.7267901654545454,tune_infectious_007
Infectious,6,0.01,0.001,64,64,0.0,0.23003365213601573,0.5284570160047912,0.7269504027272727,tune_infectious_006
Infectious,1,0.0,0.0005,64,64,0.0001,0.26161364914488094,0.5790354148040145,0.7609437509090909,tune_infectious_001
Infectious,0,0.0,0.0005,64,64,0.0,0.2623426767585409,0.5802202898073421,0.7617219063636363,tune_infectious_000
Infectious,3,0.0,0.001,64,64,0.0001,0.27654546150372045,0.6033617708006939,0.7767636372727272,tune_infectious_003
Infectious,2,0.0,0.001,64,64,0.0,0.276765600888377,0.6037141505362363,0.77699043,tune_infectious_002
