dataset,beta_per_second,gamma_per_second,median_y,std_y,prop_low_y,prop_high_y,mean_y,min_y,max_y,objective,sample_windows,sample_window_ids,round
Infectious,0.004,1.8518400000000002e-05,0.1875,0.20953818267800262,0.4,0.1,0.225,0.0,0.6875,0.36250000000000004,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.004,2.3148e-05,0.1875,0.24968730444297724,0.3,0.1,0.2625,0.0,0.8125,0.36250000000000004,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.0025,1.1574e-05,0.15625,0.24558603380485627,0.3,0.1,0.2125,0.0,0.875,0.39375000000000004,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.0025,1.8518400000000002e-05,0.15625,0.21794494717703367,0.4,0.1,0.2,0.0,0.6875,0.39375000000000004,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.004,2.8935e-05,0.15625,0.1996089927833914,0.5,0.1,0.1875,0.0,0.625,0.39375000000000004,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.00625,2.3148e-05,0.375,0.21614520582238228,0.1,0.2,0.3875,0.0625,0.875,0.4500000000000002,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.00625,2.8935e-05,0.375,0.20925836303479006,0.1,0.2,0.35625,0.0,0.75,0.4500000000000002,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.00625,1.8518400000000002e-05,0.4375,0.22569337606584738,0.2,0.4,0.4125,0.0625,0.6875,0.5250000000000001,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.008,3.7036800000000004e-05,0.25,0.16165646445471957,0.1,0.1,0.25625,0.0,0.5625,0.6000000000000001,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.0025,2.3148e-05,0.09375,0.19324531042175383,0.5,0.1,0.175,0.0,0.625,0.6375,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.00625,1.1574e-05,0.40625,0.26040833319999573,0.1,0.4,0.425,0.0625,0.9375,0.6375000000000002,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.008,2.8935e-05,0.3125,0.16165646445471954,0.1,0.1,0.30625,0.0,0.625,0.6625000000000001,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.005,3.7036800000000004e-05,0.15625,0.1340475661845451,0.2,0.0,0.1875,0.0,0.5,0.7575597352618196,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.008,1.8518400000000002e-05,0.4375,0.2547210484039354,0.1,0.4,0.48125,0.0625,0.875,0.8250000000000002,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.0025,2.8935e-05,0.125,0.11336473217010659,0.4,0.0,0.11875,0.0,0.3125,0.8965410713195736,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.004,3.7036800000000004e-05,0.09375,0.16817030058842136,0.5,0.0,0.15,0.0,0.5,0.9375,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.005,1.1574e-05,0.46875,0.26582712897670924,0.1,0.5,0.43125,0.0625,0.8125,1.0125000000000002,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.0025,3.7036800000000004e-05,0.03125,0.1346291201783626,0.7,0.0,0.1,0.0,0.375,1.3739835192865497,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.008,1.1574e-05,0.625,0.22543360996089293,0.1,0.6,0.54375,0.0625,0.875,1.9500000000000002,10,0|8|15|23|30|38|45|53|60|68,2
