epoch,total_loss,task_loss,g_constraint,train_rmse,val_rmse
0,114.14913940429688,0.055720992386341095,162.9906005859375,0.23605294525623322,0.21421118080615997
1,72.11327362060547,0.060039810836315155,102.93318939208984,0.2450302243232727,0.2537180781364441
2,45.109764099121094,0.05636756867170334,64.36199951171875,0.2374185472726822,0.22975994646549225
3,28.640775680541992,0.05591028928756714,40.83552169799805,0.2364535629749298,0.21166130900382996
4,18.666671752929688,0.05713927745819092,26.585046768188477,0.23903822898864746,0.20288227498531342
5,12.355202674865723,0.05719056352972984,17.568588256835938,0.23914548754692078,0.2025090903043747
6,8.422568321228027,0.0565442219376564,11.95146369934082,0.2377902865409851,0.2056690752506256
7,5.990268230438232,0.05594855919480324,8.477599143981934,0.2365344762802124,0.21183812618255615
8,4.537985324859619,0.05556393787264824,6.403459072113037,0.23572003841400146,0.22026148438453674
9,3.6302032470703125,0.055958572775125504,5.1060638427734375,0.23655565083026886,0.22654417157173157
