epoch,total_loss,task_loss,d_constraint,train_rmse,val_rmse
0,134.43580627441406,0.13064442574977875,447.6838684082031,0.36144769191741943,0.4146922826766968
1,126.63533020019531,0.09517566859722137,421.8005065917969,0.3085055351257324,0.35060495138168335
2,118.48495483398438,0.07207388430833817,394.7095947265625,0.2684657871723175,0.29591718316078186
3,110.72713470458984,0.06042768061161041,368.8890075683594,0.24582041800022125,0.25545409321784973
4,103.89553833007812,0.056004997342824936,346.1317443847656,0.23665374517440796,0.2270621508359909
5,96.5263900756836,0.05570853501558304,321.56890869140625,0.2360265552997589,0.21103577315807343
6,89.31317138671875,0.05696575716137886,297.5206604003906,0.23867499828338623,0.2037186622619629
7,82.12496185302734,0.058346979320049286,273.55535888671875,0.24155119061470032,0.2001093477010727
8,75.67900848388672,0.05942676588892937,252.0652618408203,0.24377605319023132,0.1993677169084549
9,69.06282806396484,0.0597255602478981,230.01034545898438,0.2443881332874298,0.19756779074668884
10,62.992591857910156,0.059793923050165176,209.77598571777344,0.24452796578407288,0.19683071970939636
11,56.865760803222656,0.0592450313270092,189.35504150390625,0.24340301752090454,0.19809864461421967
12,50.622215270996094,0.05837717279791832,168.54612731933594,0.24161368608474731,0.20054545998573303
13,45.742191314697266,0.057524267584085464,152.28221130371094,0.23984217643737793,0.20252150297164917
14,40.363075256347656,0.05641457438468933,134.35552978515625,0.23751752078533173,0.20693828165531158
