epoch,loss,train_rmse,val_rmse
0,0.07732483744621277,0.27807343006134033,0.3091844320297241
1,0.05813948065042496,0.2411212921142578,0.24475650489330292
2,0.05601244419813156,0.23666948080062866,0.20959430932998657
3,0.05987042188644409,0.24468432366847992,0.19734472036361694
4,0.06266554445028305,0.2503308653831482,0.19494891166687012
5,0.06292019039392471,0.250838965177536,0.19440360367298126
6,0.06137128174304962,0.2477322816848755,0.1946326196193695
7,0.05899360030889511,0.24288597702980042,0.19853922724723816
8,0.056480731815099716,0.23765675723552704,0.20581048727035522
9,0.05558156967163086,0.23575744032859802,0.21499408781528473
