epoch,total_loss,task_loss,d_constraint,train_rmse,val_rmse
0,134.0548858642578,0.13336068391799927,446.4050598144531,0.36518582701683044,0.3766908049583435
1,125.56397247314453,0.09699679911136627,418.2232360839844,0.3114430904388428,0.3175848424434662
2,117.90339660644531,0.07362596690654755,392.7658996582031,0.2713410556316376,0.269435316324234
3,110.4896240234375,0.061470091342926025,368.0938415527344,0.24793162941932678,0.2359817922115326
4,103.49959564208984,0.056718625128269196,344.8095703125,0.23815672099590302,0.2185307741165161
5,96.29715728759766,0.05629676207900047,320.8028564453125,0.23726938664913177,0.21150769293308258
6,89.42875671386719,0.05751742050051689,297.90411376953125,0.23982790112495422,0.20911763608455658
7,82.14514923095703,0.058711182326078415,273.6214599609375,0.24230390787124634,0.20937590301036835
8,75.09603881835938,0.05983866751194,250.12066650390625,0.2446194291114807,0.21097645163536072
9,68.76377868652344,0.06012558937072754,229.0121612548828,0.24520519375801086,0.2118428349494934
10,62.823875427246094,0.06030300632119179,209.21189880371094,0.2455667108297348,0.21197475492954254
