epoch,total_loss,task_loss,g_constraint,train_rmse,val_rmse
0,3.1372506618499756,0.0692688450217247,306.7981872558594,0.26318976283073425,0.25914862751960754
1,2.506945848464966,0.06235542520880699,244.4590301513672,0.24971067905426025,0.2402607500553131
2,2.0036442279815674,0.058284275233745575,194.5360107421875,0.24142137169837952,0.22688637673854828
3,1.603835105895996,0.056402407586574554,154.74327087402344,0.2374919056892395,0.21635371446609497
4,1.2906653881072998,0.056067999452352524,123.45974731445312,0.2367868274450302,0.21243155002593994
5,1.041533350944519,0.05652593821287155,98.50074005126953,0.23775184154510498,0.21078002452850342
6,0.8453434705734253,0.05728833004832268,78.80551147460938,0.23934981226921082,0.2088683545589447
7,0.6860752701759338,0.05780293419957161,62.82723617553711,0.24042241275310516,0.20902255177497864
8,0.5619825720787048,0.05838146433234215,50.36011505126953,0.24162256717681885,0.21011939644813538
9,0.4658423960208893,0.058093082159757614,40.774932861328125,0.24102506041526794,0.21042288839817047
10,0.39033663272857666,0.058054182678461075,33.22824478149414,0.24094435572624207,0.21073494851589203
