g_norm,y_t,delta_y
26.5329983228432,0.0833333333333333,0.1333333333333333
42.391036788453285,0.2166666666666666,-0.1249999999999999
23.93741840717165,0.0916666666666666,-0.0916666666666666
47.54997371187496,0.0,0.6
87.66413177577246,0.6,0.0833333333333333
160.9192344003662,0.6833333333333333,-0.6833333333333333
58.7962583843564,0.0,0.175
38.80721582386451,0.175,0.2
45.89117562233506,0.375,0.1416666666666667
44.87761134463375,0.5166666666666667,0.0666666666666666
69.59885056522126,0.5833333333333334,-0.5833333333333334
39.56008088970496,0.0,0.0416666666666666
24.228082879171435,0.0416666666666666,0.425
113.91224692718514,0.4666666666666667,-0.0833333333333333
56.06246516163912,0.3833333333333333,0.2916666666666667
48.13522618623496,0.675,0.0499999999999999
96.30680142129113,0.725,-0.6333333333333334
63.82789358893179,0.0916666666666666,0.4166666666666667
60.15812497078013,0.5083333333333333,-0.325
64.02343321003646,0.1833333333333333,0.3416666666666667
109.42577392917995,0.525,0.15
149.92331373072034,0.675,-0.675
25.80697580112788,0.0,0.2583333333333333
17.291616465790582,0.2583333333333333,0.1166666666666667
32.48076353782343,0.375,0.175
30.886890422961,0.55,-0.325
45.5411901469428,0.225,0.1666666666666666
39.0,0.3916666666666666,-0.3083333333333333
29.512709126747414,0.0833333333333333,-0.075
19.493588689617926,0.0083333333333333,0.1833333333333333
45.40925015897091,0.1916666666666666,0.1166666666666667
41.47288270665544,0.3083333333333333,-0.0916666666666667
39.91240408695021,0.2166666666666666,0.4750000000000001
26.019223662515376,0.6916666666666667,-0.2333333333333333
37.08099243547832,0.4583333333333333,-0.4166666666666667
36.05551275463989,0.0416666666666666,-0.0416666666666666
22.0454076850486,0.0,0.0083333333333333
19.621416870348583,0.0083333333333333,0.075
35.81898937714463,0.0833333333333333,0.2
22.825424421026653,0.2833333333333333,0.1499999999999999
42.93017586733136,0.4333333333333333,-0.0916666666666666
26.30589287593181,0.3416666666666667,-0.1583333333333333
26.589471600616665,0.1833333333333333,-0.1666666666666666
20.396078054371134,0.0166666666666666,0.1416666666666667
44.7213595499958,0.1583333333333333,0.3583333333333334
42.190046219457976,0.5166666666666667,0.1333333333333333
58.0,0.65,-0.625
26.095976701399778,0.025,0.2083333333333333
29.223278392404914,0.2333333333333333,0.0583333333333333
28.24889378365107,0.2916666666666667,-0.2916666666666667
30.116440692751198,0.0,0.0916666666666666
24.166091947189145,0.0916666666666666,0.3833333333333333
36.02776706930364,0.475,-0.2916666666666667
48.95916665957459,0.1833333333333333,0.4416666666666667
61.50609725872712,0.625,-0.5666666666666667
20.29778313018444,0.0583333333333333,0.075
29.10326442171049,0.1333333333333333,0.4416666666666666
27.53179979587241,0.575,-0.2333333333333332
64.34283176858165,0.3416666666666667,0.175
40.47221268969612,0.5166666666666667,-0.0416666666666667
43.76071297408213,0.475,-0.0499999999999999
37.02701716314724,0.425,-0.0249999999999999
37.8549864614954,0.4,0.1166666666666667
21.97726097583591,0.5166666666666667,0.0249999999999999
90.46546302318912,0.5416666666666666,0.0333333333333333
144.67204291085406,0.575,0.0416666666666667
114.28035701729324,0.6166666666666667,-0.2666666666666667
22.84731931759173,0.35,-0.0166666666666666
