dataset,model,rmse,brier,ece,eval_count,positive_count,negative_count,class_balance_ok,eval_scope,rmse_norm
Infectious,Landscape,0.263636530617042,0.5818177526503899,0.7627625654545455,11.0,11.0,0.0,0.0,test,0.9285242402330208
Infectious,RKHS,0.2187474504602453,0.5106844460127006,0.7146155218181818,11.0,11.0,0.0,0.0,test,0.7704255163960955
Infectious,TGN,0.2839306925911598,0.615590944665687,0.7845866972727273,11.0,11.0,0.0,0.0,test,1.0
