epoch,loss,train_rmse,val_rmse
0,0.07732482999563217,0.27807343006134033,0.3091844320297241
1,0.05813948065042496,0.2411212921142578,0.24475650489330292
2,0.05601157248020172,0.23666764795780182,0.20954063534736633
3,0.05983777716755867,0.24461761116981506,0.19732579588890076
4,0.0626780241727829,0.2503558099269867,0.1949593722820282
5,0.06294602155685425,0.25089046359062195,0.1945270150899887
6,0.06141405552625656,0.24781858921051025,0.19454726576805115
7,0.058992594480514526,0.24288390576839447,0.19840244948863983
8,0.05651475116610527,0.2377283126115799,0.20565472543239594
9,0.055594056844711304,0.2357839196920395,0.21492065489292145
