name,input,output
events_to_windows,temp\level1\pilot_infectious\table.csv,windowed_events
windows_to_D_t,windowed_events,temp\level1\pilot_infectious\features.npz
D_t_to_g_t,temp\level1\pilot_infectious\features.npz,g_t
g_t_to_prediction,g_t + TGN,y_t
